DATE,DAY_OF_WEEK,AIRLINE_CODE,AIRLINE_COMPANY,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED
2015-12-29,2,B6,JetBlue Airways,283,N594JB,JFK,MCO,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,09:17:00,09:38:00,00:21:00,03:00:00,0 days 03:20:00,0 days 02:20:00,944,737,778.0,41.0,0,0
2015-11-18,3,B6,JetBlue Airways,1159,N279JB,BOS,PHL,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,17:30:00,17:30:00,00:00:00,01:47:00,0 days 01:33:00,0 days 01:01:00,280,1157,1143.0,-14.0,0,0
2015-11-02,1,WN,Southwest Airlines Co.,197,N8645A,LAS,SEA,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,10:20:00,10:19:00,23:59:00,02:40:00,0 days 02:40:00,0 days 02:00:00,867,780,779.0,-1.0,0,0
2015-01-08,4,AS,Alaska Airlines Inc.,480,N706AS,SEA,SAN,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,17:45:00,18:10:00,00:25:00,02:34:00,0 days 02:47:00,0 days 02:23:00,1050,1219,1257.0,38.0,0,0
2015-12-31,4,AA,American Airlines Inc.,795,N948UW,PHL,IAH,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114,14:20:00,14:17:00,23:57:00,03:59:00,0 days 03:56:00,0 days 03:34:00,1325,1039,1033.0,-6.0,0,0
2015-07-23,4,EV,Atlantic Southeast Airlines,4955,N839AS,DTW,ROC,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,07:47:00,07:39:00,23:52:00,01:15:00,0 days 01:11:00,0 days 00:50:00,296,542,530.0,-12.0,0,0
2015-09-28,1,AS,Alaska Airlines Inc.,322,N320AS,SEA,SJC,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,15:55:00,15:49:00,23:54:00,01:59:00,0 days 02:19:00,0 days 01:55:00,697,1074,1088.0,14.0,0,0
2015-10-06,2,NK,Spirit Air Lines,301,N635NK,MKG,YAK,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822,06:45:00,06:44:00,23:59:00,02:29:00,0 days 02:24:00,0 days 02:04:00,925,554,548.0,-6.0,0,0
2015-09-24,4,WN,Southwest Airlines Co.,3145,N459WN,OAK,BOI,Oakland International Airport,Oakland,CA,37.72129,-122.22072,19:30:00,20:38:00,01:08:00,01:25:00,0 days 01:14:00,0 days 01:04:00,512,1315,1372.0,57.0,0,0
2015-08-03,1,WN,Southwest Airlines Co.,1383,N620SW,SAN,LAS,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,11:40:00,11:41:00,00:01:00,01:15:00,0 days 01:00:00,0 days 00:44:00,258,775,761.0,-14.0,0,0
2015-04-22,3,DL,Delta Air Lines Inc.,1612,N953DL,ATL,ORD,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,13:42:00,13:37:00,23:55:00,02:06:00,0 days 02:12:00,0 days 01:42:00,606,888,889.0,1.0,0,0
2015-04-25,6,UA,United Air Lines Inc.,1164,N17719,IAH,CLE,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,15:55:00,16:21:00,00:26:00,02:50:00,0 days 02:19:00,0 days 01:58:00,1091,1185,1180.0,-5.0,0,0
2015-10-06,2,HA,Hawaiian Airlines Inc.,112,N489HA,ORD,LGB,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,19:17:00,19:09:00,23:52:00,00:39:00,0 days 00:36:00,0 days 00:22:00,100,1196,1185.0,-11.0,0,0
2015-10-11,7,WN,Southwest Airlines Co.,125,N8616C,CHA,BRO,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,35.03527,-85.20379,21:55:00,22:03:00,00:08:00,01:50:00,0 days 01:42:00,0 days 01:25:00,717,45,45.0,0.0,0,0
2015-10-10,6,WN,Southwest Airlines Co.,1048,N413WN,FLL,TWF,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,11:25:00,11:29:00,00:04:00,01:25:00,0 days 01:18:00,0 days 01:03:00,404,770,767.0,-3.0,0,1
2015-08-31,1,WN,Southwest Airlines Co.,36,N283WN,MDW,SDF,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242,20:40:00,20:37:00,23:57:00,01:05:00,0 days 01:00:00,0 days 00:43:00,271,1365,1357.0,-8.0,0,0
2015-11-17,2,DL,Delta Air Lines Inc.,1771,N969DL,ATL,MEM,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,09:40:00,09:40:00,00:00:00,01:20:00,0 days 01:25:00,0 days 01:04:00,332,600,605.0,5.0,0,0
2015-08-21,5,DL,Delta Air Lines Inc.,1813,N982AT,ATL,HOU,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,15:10:00,15:09:00,23:59:00,02:11:00,0 days 02:06:00,0 days 01:41:00,696,981,975.0,-6.0,0,0
2015-11-26,4,WN,Southwest Airlines Co.,4030,N234WN,BNA,SAN,Nashville International Airport,Nashville,TN,36.12448,-86.67818,12:00:00,11:57:00,23:57:00,04:35:00,0 days 04:54:00,0 days 04:33:00,1751,875,891.0,16.0,0,0
2015-01-10,6,WN,Southwest Airlines Co.,4318,N761RR,HOU,RDU,William P. Hobby Airport,Houston,TX,29.64542,-95.27889,11:50:00,11:48:00,23:58:00,02:25:00,0 days 02:10:00,0 days 02:01:00,1050,915,898.0,-17.0,0,0
2015-01-09,5,AA,American Airlines Inc.,1180,N3FBAA,SFO,DFW,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,06:00:00,05:52:00,23:52:00,03:24:00,0 days 03:15:00,0 days 03:00:00,1464,684,667.0,-17.0,0,0
2015-12-19,6,UA,United Air Lines Inc.,348,N215UA,OGG,ORD,Kahului Airport,Kahului,HI,20.89865,-156.43046,17:10:00,17:17:00,00:07:00,07:57:00,0 days 08:03:00,0 days 07:41:00,4184,307,320.0,13.0,0,0
2015-09-03,4,DL,Delta Air Lines Inc.,2609,N933DL,ATL,CLT,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,08:47:00,08:43:00,23:56:00,01:22:00,0 days 01:16:00,0 days 00:44:00,226,609,599.0,-10.0,0,0
2015-07-11,6,AA,American Airlines Inc.,890,N156UW,CLT,DFW,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,22:15:00,22:31:00,00:16:00,02:32:00,0 days 02:23:00,0 days 02:03:00,936,1427,1434.0,7.0,0,0
2015-06-25,4,DL,Delta Air Lines Inc.,1217,N382DA,DTW,LAS,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,17:52:00,17:48:00,23:56:00,04:18:00,0 days 04:22:00,0 days 03:51:00,1749,1150,1150.0,0.0,0,0
2015-08-25,2,AA,American Airlines Inc.,1813,N109UW,EWR,CLT,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,05:00:00,04:54:00,23:54:00,01:41:00,0 days 01:40:00,0 days 01:22:00,529,401,394.0,-7.0,0,0
2015-10-23,5,WN,Southwest Airlines Co.,31,N267WN,RHI,LBB,Rhinelander-Oneida County Airport,Rhinelander,WI,45.63119,-89.46745,09:55:00,09:49:00,23:54:00,01:50:00,0 days 01:46:00,0 days 01:32:00,589,705,695.0,-10.0,0,0
2015-02-14,6,WN,Southwest Airlines Co.,4144,N287WN,MDW,PHL,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242,13:15:00,13:24:00,00:09:00,01:55:00,0 days 01:42:00,0 days 01:27:00,668,970,966.0,-4.0,0,0
2015-08-20,4,EV,Atlantic Southeast Airlines,2632,N909EV,LEX,DFW,Blue Grass Airport,Lexington,KY,38.03697,-84.60539,06:25:00,06:20:00,23:55:00,02:22:00,0 days 02:27:00,0 days 01:56:00,785,467,467.0,0.0,0,0
2015-06-16,2,MQ,American Eagle Airlines Inc.,3144,N524MQ,DFW,OKC,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,17:26:00,18:46:00,01:20:00,01:04:00,0 days 00:57:00,0 days 00:36:00,175,1110,1183.0,73.0,0,0
2015-05-16,6,WN,Southwest Airlines Co.,1763,N8600F,DEN,MKE,Denver International Airport,Denver,CO,39.85841,-104.667,11:05:00,11:03:00,23:58:00,02:15:00,0 days 02:02:00,0 days 01:46:00,896,860,845.0,-15.0,0,0
2015-11-11,3,B6,JetBlue Airways,1208,N316JB,IAD,JFK,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581,06:30:00,06:27:00,23:57:00,01:11:00,0 days 01:07:00,0 days 00:48:00,228,461,454.0,-7.0,0,0
2015-06-02,2,B6,JetBlue Airways,2019,N273JB,ORH,FLL,Worcester Regional Airport,Worcester,MA,42.26734,-71.87571,14:35:00,14:57:00,00:22:00,03:05:00,0 days 04:16:00,0 days 03:45:00,1211,1060,1153.0,93.0,0,0
2015-05-15,5,WN,Southwest Airlines Co.,1614,N253WN,SLC,PHX,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,11:00:00,11:10:00,00:10:00,01:35:00,0 days 01:46:00,0 days 01:18:00,507,695,716.0,21.0,0,0
2015-10-09,5,UA,United Air Lines Inc.,1519,N14219,HRL,CHO,Valley International Airport,Harlingen,TX,26.22851,-97.65439,22:50:00,22:46:00,23:56:00,01:34:00,0 days 01:30:00,0 days 01:00:00,414,24,16.0,-8.0,0,0
2015-12-29,2,WN,Southwest Airlines Co.,382,N947WN,MKE,LAS,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658,08:35:00,08:50:00,00:15:00,04:00:00,0 days 03:50:00,0 days 03:28:00,1524,635,640.0,5.0,0,0
2015-10-27,2,DL,Delta Air Lines Inc.,2061,N920DL,CRW,LBE,Yeager Airport,Charleston,WV,38.37315,-81.59319,07:30:00,07:25:00,23:55:00,02:18:00,0 days 02:46:00,0 days 01:49:00,666,588,611.0,23.0,0,0
2015-07-21,2,EV,Atlantic Southeast Airlines,5939,N11181,MEM,ORD,Memphis International Airport,Memphis,TN,35.04242,-89.97667,07:39:00,07:30:00,23:51:00,01:54:00,0 days 02:01:00,0 days 01:20:00,491,573,571.0,-2.0,0,0
2015-11-24,2,DL,Delta Air Lines Inc.,2771,N987AT,SFO,LAX,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,16:00:00,16:19:00,00:19:00,01:20:00,0 days 01:15:00,0 days 00:54:00,337,1040,1054.0,14.0,0,0
2015-06-11,4,UA,United Air Lines Inc.,1090,N75854,LAX,IAH,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,08:20:00,08:38:00,00:18:00,03:23:00,0 days 03:14:00,0 days 02:46:00,1379,823,832.0,9.0,0,0
2015-07-12,7,OO,Skywest Airlines Inc.,2906,N417SW,LAX,RDM,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,10:10:00,10:04:00,23:54:00,02:10:00,0 days 01:55:00,0 days 01:38:00,726,740,719.0,-21.0,0,0
